start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month_dataset1,sunset_time,hours_after_sunset_dataset1,season,rat_presence_duration_sec,time,month_dataset2,hours_after_sunset_dataset2,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_eating
2017-12-30 18:37:00,16.0,rat,30/12/2017 18:35,30/12/2017 18:38,108,1,0,0,30/12/2017 16:45,1.870833333,0,180.0,2017-12-30 18:37:00,0,1.5,36,4.0,3.283333333,1,1
2017-12-30 19:51:00,0.074015603,fast,30/12/2017 19:50,30/12/2017 19:55,17,0,1,0,30/12/2017 16:45,3.100833333,0,300.0,2017-12-30 19:51:00,0,3.0,37,3.067911715,5.0,1,1
2017-12-30 19:51:00,4.0,fast,30/12/2017 19:50,30/12/2017 19:55,41,0,1,0,30/12/2017 16:45,3.1075,0,300.0,2017-12-30 19:51:00,0,3.0,37,3.067911715,5.0,1,1
2017-12-30 19:52:00,10.0,rat,30/12/2017 19:50,30/12/2017 19:55,111,1,0,0,30/12/2017 16:45,3.126944444,0,300.0,2017-12-30 19:52:00,0,3.0,37,3.067911715,5.0,1,1
2017-12-30 19:54:00,15.0,rat,30/12/2017 19:50,30/12/2017 19:55,194,1,0,0,30/12/2017 16:45,3.15,0,300.0,2017-12-30 19:54:00,0,3.0,37,3.067911715,5.0,1,1
2017-12-30 19:54:00,24.0,rat,30/12/2017 19:50,30/12/2017 19:55,215,1,0,0,30/12/2017 16:45,3.155833333,0,300.0,2017-12-30 19:54:00,0,3.0,37,3.067911715,5.0,1,1
2017-12-30 19:54:00,13.0,rat,30/12/2017 19:50,30/12/2017 19:55,253,1,0,0,30/12/2017 16:45,3.166388889,0,300.0,2017-12-30 19:54:00,0,3.0,37,3.067911715,5.0,1,1
2017-12-26 21:24:00,15.0,rat,26/12/2017 21:22,26/12/2017 21:27,88,1,0,0,26/12/2017 16:43,4.684444444,0,300.0,2017-12-26 21:24:00,0,4.5,53,2.561403509,4.866666667,1,1
2017-12-26 21:24:00,6.0,pick,26/12/2017 21:22,26/12/2017 21:27,113,0,1,0,26/12/2017 16:43,4.691388889,0,300.0,2017-12-26 21:24:00,0,4.5,53,2.561403509,4.866666667,1,1
2017-12-26 21:24:00,3.0,fast,26/12/2017 21:22,26/12/2017 21:27,121,0,1,0,26/12/2017 16:43,4.693611111,0,300.0,2017-12-26 21:24:00,0,4.5,53,2.561403509,4.866666667,1,1
2017-12-26 21:24:00,5.0,pick,26/12/2017 21:22,26/12/2017 21:27,128,0,1,0,26/12/2017 16:43,4.695555556,0,300.0,2017-12-26 21:24:00,0,4.5,53,2.561403509,4.866666667,1,1
2017-12-26 21:25:00,6.0,pick,26/12/2017 21:22,26/12/2017 21:27,153,0,1,0,26/12/2017 16:43,4.7025,0,300.0,2017-12-26 21:25:00,0,4.5,53,2.561403509,4.866666667,1,1
